genre,filename,year,index,score,sent1,sent2
main-captions,MSRvid,2012,1,5.0,A plane is taking off.,An air plane is taking off.
main-captions,MSRvid,2012,4,3.8,A man is playing a large flute.,A man is playing a flute.
main-captions,MSRvid,2012,5,3.8,A man is spreading shreded cheese on a pizza.,A man is spreading shredded cheese on an uncooked pizza.
main-captions,MSRvid,2012,6,2.6,Three men are playing chess.,Two men are playing chess.
main-captions,MSRvid,2012,9,4.25,A man is playing the cello.,A man seated is playing the cello.
main-captions,MSRvid,2012,11,4.25,Some men are fighting.,Two men are fighting.
main-captions,MSRvid,2012,12,0.5,A man is smoking.,A man is skating.
main-captions,MSRvid,2012,13,1.6,The man is playing the piano.,The man is playing the guitar.
main-captions,MSRvid,2012,14,2.2,A man is playing on a guitar and singing.,A woman is playing an acoustic guitar and singing.
main-captions,MSRvid,2012,16,5.0,A person is throwing a cat on to the ceiling.,A person throws a cat on the ceiling.
main-captions,MSRvid,2012,17,4.2,The man hit the other man with a stick.,The man spanked the other man with a stick.
main-captions,MSRvid,2012,18,4.6,A woman picks up and holds a baby kangaroo.,A woman picks up and holds a baby kangaroo in her arms.
main-captions,MSRvid,2012,19,3.867,A man is playing a flute.,A man is playing a bamboo flute.
main-captions,MSRvid,2012,20,4.667,A person is folding a piece of paper.,Someone is folding a piece of paper.
main-captions,MSRvid,2012,21,1.6669999999999998,A man is running on the road.,A panda dog is running on the road.
main-captions,MSRvid,2012,22,3.75,A dog is trying to get bacon off his back.,A dog is trying to eat the bacon on its back.
main-captions,MSRvid,2012,25,5.0,The polar bear is sliding on the snow.,A polar bear is sliding across the snow.
main-captions,MSRvid,2012,26,0.5,A woman is writing.,A woman is swimming.
main-captions,MSRvid,2012,28,3.8,A cat is rubbing against baby's face.,A cat is rubbing against a baby.
main-captions,MSRvid,2012,29,5.0,The man is riding a horse.,A man is riding on a horse.
main-captions,MSRvid,2012,30,3.2,A man pours oil into a pot.,A man pours wine in a pot.
main-captions,MSRvid,2012,31,2.8,A man is playing a guitar.,A girl is playing a guitar.
main-captions,MSRvid,2012,32,4.6,A panda is sliding down a slide.,A panda slides down a slide.
main-captions,MSRvid,2012,34,3.0,A woman is eating something.,A woman is eating meat.
main-captions,MSRvid,2012,35,5.0,A woman peels a potato.,A woman is peeling a potato.
main-captions,MSRvid,2012,38,4.8,The boy fell off his bike.,A boy falls off his bike.
main-captions,MSRvid,2012,40,5.0,The woman is playing the flute.,A woman is playing a flute.
main-captions,MSRvid,2012,42,4.2,A rabbit is running from an eagle.,A hare is running from a eagle.
main-captions,MSRvid,2012,44,4.2,The woman is frying a breaded pork chop.,A woman is cooking a breaded pork chop.
main-captions,MSRvid,2012,46,4.0,A girl is flying a kite.,A girl running is flying a kite.
main-captions,MSRvid,2012,47,4.0,A man is riding a mechanical bull.,A man rode a mechanical bull.
main-captions,MSRvid,2012,48,4.909,The man is playing the guitar.,A man is playing a guitar.
main-captions,MSRvid,2012,50,3.0,A woman is dancing and singing with other women.,A woman is dancing and singing in the rain.
main-captions,MSRvid,2012,52,2.4,A man is slicing a bun.,A man is slicing an onion.
main-captions,MSRvid,2012,53,4.2,A man is pouring oil into a pan.,A man is pouring oil into a skillet.
main-captions,MSRvid,2012,54,3.4,A lion is playing with people.,A lion is playing with two men.
main-captions,MSRvid,2012,55,5.0,A dog rides a skateboard.,A dog is riding a skateboard.
main-captions,MSRvid,2012,56,3.75,Someone is carving a statue.,A man is carving a statue.
main-captions,MSRvid,2012,57,2.75,A woman is slicing an onion.,A man is cutting an onion.
main-captions,MSRvid,2012,58,5.0,A woman peels shrimp.,A woman is peeling shrimp.
main-captions,MSRvid,2012,59,4.0,A woman is frying fish.,A woman is cooking fish.
main-captions,MSRvid,2012,61,3.6,A woman is playing an electric guitar.,A woman is playing a guitar.
main-captions,MSRvid,2012,62,1.6,A baby tiger is playing with a ball.,A baby is playing with a doll.
main-captions,MSRvid,2012,64,1.75,A person is slicing a tomato.,A person is slicing some meat.
main-captions,MSRvid,2012,65,5.0,A person cuts an onion.,A person is cutting an onion.
main-captions,MSRvid,2012,68,1.0,A man is playing the piano.,A woman is playing the violin.
main-captions,MSRvid,2012,69,1.0,A woman is playing the flute.,A man is playing the guitar.
main-captions,MSRvid,2012,70,2.375,A man is cutting up a potato.,A man is cutting up carrots.
main-captions,MSRvid,2012,71,3.8,A kid is playing guitar.,A boy is playing a guitar.
main-captions,MSRvid,2012,72,3.2,A boy is playing guitar.,A man is playing a guitar.
main-captions,MSRvid,2012,73,3.2,A man is playing guitar.,A boy is playing a guitar.
main-captions,MSRvid,2012,75,4.4,A little boy is playing a keyboard.,A boy is playing key board.
main-captions,MSRvid,2012,77,3.75,A man is playing a guitar.,A man is playing an electric guitar.
main-captions,MSRvid,2012,78,4.75,A dog licks a baby.,A dog is licking a baby.
main-captions,MSRvid,2012,80,3.2,A woman is slicing an onion.,A man is cutting and onion.
main-captions,MSRvid,2012,81,1.556,A man is playing the guitar.,A man is playing the drums.
main-captions,MSRvid,2012,83,3.938,A woman is slicing a pepper.,A woman is cutting a red pepper.
main-captions,MSRvid,2012,84,5.0,A man is playing the drums.,A man plays the drum.
main-captions,MSRvid,2012,85,5.0,A woman rides a horse.,A woman is riding a horse.
main-captions,MSRvid,2012,86,4.0,A man is eating a banana by a tree.,A man is eating a banana.
main-captions,MSRvid,2012,87,1.6,A cat is playing a key board.,A man is playing two keyboards.
main-captions,MSRvid,2012,89,4.75,A man chops down a tree with an axe.,A man cut a tree with an axe.
main-captions,MSRvid,2012,90,3.5,A kid plays with a toy phone.,A little boy plays with a toy phone.
main-captions,MSRvid,2012,93,1.4,A man is riding a motorcycle.,A man is riding a horse.
main-captions,MSRvid,2012,94,1.4,A man is riding a motorcycle.,A man is riding a horse.
main-captions,MSRvid,2012,99,4.0,A squirrel is spinning around in circles.,A squirrel runs around in circles.
main-captions,MSRvid,2012,101,5.0,A man and a woman are kissing.,A man and woman kiss.
main-captions,MSRvid,2012,102,3.833,A man is getting into a car.,A man is getting into a car in a garage.
main-captions,MSRvid,2012,104,0.6,A man is dancing.,A man is talking.
main-captions,MSRvid,2012,105,2.917,A man is playing the guitar and singing.,A man is playing the guitar.
main-captions,MSRvid,2012,106,4.2,A person is cutting mushrooms.,A person is cutting mushrooms with a knife.
main-captions,MSRvid,2012,108,2.0,A tiger cub is making a sound.,A tiger is walking around.
main-captions,MSRvid,2012,109,2.6,A person is slicing onions.,A person is peeling an onion.
main-captions,MSRvid,2012,110,1.6,A man is playing the piano.,A man is playing the trumpet.
main-captions,MSRvid,2012,111,2.0,A woman is peeling a potato.,A woman is peeling an apple.
main-captions,MSRvid,2012,112,4.2,A pankda is eating bamboo.,A panda bear is eating some bamboo.
main-captions,MSRvid,2012,113,2.0,A person is peeling an onion.,A person is peeling an eggplant.
main-captions,MSRvid,2012,114,4.8,A monkey pushes another monkey.,The monkey pushed the other monkey.
main-captions,MSRvid,2012,115,4.4,A squirrel runs around in circles.,A squirrel is moving in circles.
main-captions,MSRvid,2012,116,5.0,A man is tying his shoe.,A man ties his shoe.
main-captions,MSRvid,2012,117,3.0,A boy is singing and playing the piano.,A boy is playing the piano.
main-captions,MSRvid,2012,118,4.25,A dog is eating water melon.,A dog is eating a piece of watermelon.
main-captions,MSRvid,2012,119,4.25,A woman is chopping broccoli.,A woman is chopping broccoli with a knife.
main-captions,MSRvid,2012,120,3.8,A man is peeling a potato.,A man peeled a potatoe.
main-captions,MSRvid,2012,121,2.4,A woman is playing a guitar.,A man plays a guitar.
main-captions,MSRvid,2012,123,1.6,A woman is slicing tomato.,A man is slicing onion.
main-captions,MSRvid,2012,125,2.0,A man swims underwater.,A woman is swimming underwater.
main-captions,MSRvid,2012,126,1.6,A man and woman are talking.,A man and woman is eating.
main-captions,MSRvid,2012,129,4.0,A small dog is chasing a yoga ball.,A dog is chasing a ball.
